resolution,method,r2,sigma,SD_pct,RMS_pct,N
3orb_matched,POD,0.9870449464204276,0.13209168385214548,14.121294526984496,10.010609065262827,1229
3orb_matched,EDR,0.9929240732458037,0.12462163094257464,13.271978585703458,9.263468677333657,1229
2orb_matched,POD,0.9836033578967933,0.14286146345501427,15.35699789963363,10.997057364843688,1855
2orb_matched,EDR,0.988395895963465,0.13068803272431043,13.961220413598575,10.126706894348876,1855
1orb_matched,POD,0.9703798046486479,0.19113694575096282,21.06252307110552,13.370990429287898,3720
1orb_matched,EDR,0.9776979010445926,0.12957282049379595,13.834200307141664,11.848732700761119,3720
1orb_native,POD,0.7941713031602939,0.46730444273782,59.568712483305845,54.97969660266021,691341
1orb_native,EDR,0.7999789241188987,0.44495258413962435,56.04162056015927,55.08968874959455,691341
suborb_best,POD,0.9299751356908248,0.37507153395550724,45.509549963207995,34.41718161652343,684131
suborb_best,EDR,0.9381970892157354,0.34951817695003634,41.838397383315204,33.271134615813146,684131
